scope	scope	682	1165	NN 
invention	invention	461	1213	NN 
intended	intend	812	1213	VBN 
limited	limit	1135	1213	JJ 
embodiments	embodiment	1442	1213	NNS 
accorded	accord	857	1276	VBN 
widest	wide	1130	1276	JJS 
scope	scope	1281	1290	NN 
consistent	consistent	1410	1276	JJ 
principles	principle	550	1338	NNS 
features	feature	885	1338	NNS 
disclosed	disclose	1076	1338	VBN 
invention	invention	461	1401	NN 
operated	operate	844	1401	VBN 
computer	computer	1138	1407	NN 
program	program	1352	1414	NN 
installed	install	1546	1401	VBN 
download	download	616	1462	NN 
via	via	1055	1462	IN 
appreciated	appreciate	741	1525	VBN 
description	description	1491	1525	NN 
below	below	460	1588	IN 
searching	search	1092	1588	VBG 
managing	manage	1398	1588	NN 
patent	patent	596	1656	NN 
invention	invention	1094	1650	NN 
utilized	utilize	1566	1650	VBN 
searching	search	844	1713	VBG 
managing	manage	1152	1713	NN 
electronic	electronic	1379	1713	JJ 
mark	mark	460	1774	NN 
data	data	617	1837	NNS 
structures	structure	729	1843	NNS 
code	code	1052	1837	NN 
described	describe	1173	1837	VBN 
detailed	detail	1559	1837	JJ 
description	description	461	1899	NN 
typically	typically	785	1899	RB 
stored	store	985	1899	VBN 
computer	computer	1227	1905	NN 
readable	readable	1438	1899	NN 
age	age	461	1975	NN 
device	device	1158	1962	NN 
medium	medium	1367	1962	NN 
store	store	463	2031	NN 
code	code	582	2025	NN 
data	data	852	2025	NNS 
computer	computer	1238	2031	NN 
limited	limit	881	2086	JJ 
magnetic	magnetic	1113	2086	JJ 
optical	optical	1414	2086	JJ 
storage	storage	1574	2093	NN 
devices	device	461	2149	NNS 
disk	disk	817	2149	NN 
magnetic	magnetic	1082	2149	JJ 
video	video	919	2211	NN 
computer	computer	1289	2217	NN 
instruction	instruction	1500	2211	NN 
signals	signal	463	2274	NNS 
embodied	embody	619	2274	VBN 
transmission	transmission	924	2274	NN 
medium	medium	1201	2274	NN 
carrier	carrier	502	2335	NN 
wave	wave	657	2349	NN 
signals	signal	1138	2335	NNS 
transmission	transmission	740	2398	NN 
medium	medium	1017	2398	NN 
include	include	1307	2398	VBP 
cations	cation	461	2461	NNS 
Exemplary	Exemplary	523	2523	JJ 
Global	Global	767	2523	JJ 
Computer	Computer	923	2524	NN 
Network	Network	1145	2523	NN 
global	global	613	2586	JJ 
computer	computer	762	2592	NN 
network	network	976	2586	NN 
communications	communications	579	2647	NNS 
network	network	936	2647	NN 
Internet	Internet	461	2712	NN 
basically	basically	698	2710	RB 
comprised	comprise	906	2710	VBN 
computer	computer	1425	2717	NN 
plurality	plurality	658	2773	NN 
computer	computer	906	2779	NN 
systems	system	1117	2779	NNS 
world	world	1526	2773	NN 
communication	communication	515	2835	NN 
via	via	1217	2835	IN 
global	global	1383	2835	JJ 
computer	computer	1526	2841	NN 
network	network	460	2898	NN 
able	able	858	2898	JJ 
transmit	transmit	1042	2898	VB 
various	various	1242	2898	JJ 
types	type	1425	2904	NNS 
data	data	1637	2898	NNS 
communications	communications	1000	2959	NNS 
systems	system	579	3029	NNS 
accomplished	accomplish	910	3022	JJ 
via	via	1206	3022	IN 
various	various	1279	3022	JJ 
methods	method	1441	3022	NNS 
limited	limit	675	3084	JJ 
direct	direct	1426	3084	JJ 
telephone	telephone	568	3147	NN 
web	web	1474	3147	NN 
servers	server	1578	3160	NNS 
typically	typically	460	3210	RB 
provide	provide	654	3210	VB 
data	data	902	3210	NNS 
computer	computer	1125	3216	NN 
systems	system	1336	3216	NNS 
connected	connect	1512	3210	VBN 
via	via	460	3271	IN 
invention	invention	788	3334	NN 
utilized	utilize	1289	3334	VBN 
global	global	1594	3334	JJ 
computer	computer	461	3402	NN 
local	local	903	3396	JJ 
networks	network	1130	3396	NNS 
wide	wide	1515	3396	JJ 
networks	network	460	3459	NNS 
campus	campus	848	3472	NN 
networks	network	1123	3459	NNS 
networks	network	643	3520	NNS 
home	home	1124	3520	NN 
networks	network	1356	3520	NNS 
Various	Various	460	3583	JJ 
protocols	protocol	637	3583	NNS 
utilized	utilize	1021	3583	VBN 
electronic	electronic	1345	3583	JJ 
devices	device	1568	3583	NNS 
communications	communications	534	3646	NNS 
limited	limit	1215	3646	JJ 
WAP	WAP	656	3709	NN 
