suitable	suitable	1326	3401	JJ 
providing	provide	339	3462	VBG 
hammer	hammer	589	3462	NN 
capable	capable	957	3462	JJ 
utilized	utilize	1312	3462	VBN 
lumber	lumber	340	3521	NN 
manipulating	manipulate	498	3521	NN 
tool	tool	778	3521	NN 
combination	combination	1074	3521	NN 
air	air	1508	3521	NN 
Boswell	Boswell	993	3582	NN 
disclose	disclose	1240	3582	VB 
mer	mer	340	3655	NN 
movable	movable	570	3642	NN 
none	none	1065	3655	NN 
stated	state	1441	3642	VBN 
prior	prior	339	3703	RB 
art	art	461	3709	NN 
designed	design	615	3703	VBN 
engaging	engage	896	3703	VBG 
piece	piece	1145	3703	NN 
lumber	lumber	1337	3703	NN 
require	require	819	3764	VB 
added	add	978	3764	VBN 
elements	element	1112	3764	NNS 
allowing	allow	1383	3764	VBG 
movable	movable	431	3823	NN 
jaw	jaw	631	3823	NN 
slide	slide	806	3823	NN 
lock	lock	1035	3823	NN 
dramatically	dramatically	1305	3823	RB 
increases	increase	340	3884	NNS 
weight	weight	608	3884	NN 
connections	connection	1318	3884	NNS 
added	add	593	3944	VBN 
elements	element	723	3944	NNS 
perfectly	perfectly	1062	3944	RB 
juxtaposed	juxtapose	1251	3944	VBN 
wear	wear	339	4018	NN 
thereby	thereby	525	4005	RB 
providing	provide	688	4005	VBG 
uneven	uneven	956	4018	JJ 
impact	impact	1117	4005	NN 
hammer	hammer	1394	4005	NN 
striking	strike	480	4064	JJ 
object	object	741	4064	NN 
invention	invention	1368	4064	NN 
disclosed	disclose	340	4125	VBN 
Thomas	Thoma	615	4125	NNS 
requires	require	797	4125	VBZ 
user	user	1060	4138	NN 
carry	carry	1414	4138	VB 
conventional	conventional	340	4186	JJ 
hammer	hammer	615	4186	NN 
air	air	944	4186	NN 
requires	require	1322	4186	VBZ 
user	user	339	4259	NN 
carry	carry	507	4259	VB 
heavy	heavy	676	4246	NN 
elongated	elongate	819	4246	VBN 
bar	bar	1036	4246	NN 
pair	pair	1278	4246	NN 
claws	claw	1444	4246	NNS 
cumbersome	cumbersome	530	4307	JJ 
dangerous	dangerous	899	4307	JJ 
Frequently	Frequently	392	4376	RB 
utilizing	utilize	748	4376	VBG 
air	air	998	4376	NN 
nailer	nailer	1066	4376	NN 
force	force	1251	4376	NN 
nails	nail	1371	4376	NNS 
piece	piece	568	4436	NN 
lumber	lumber	772	4436	NN 
twisted	twist	1234	4436	VBN 
thereby	thereby	1408	4436	RB 
requiring	require	340	4497	VBG 
user	user	643	4510	NN 
manipulate	manipulate	827	4497	VB 
twisted	twist	1172	4497	VBN 
lumber	lumber	1348	4497	NN 
O	O	1610	1064	NN 
bo	bo	1590	1668	NN 
O	O	1610	1668	NN 
bo	bo	1590	1970	NN 
tn	tn	1610	1969	NN 
tn	tn	1610	2573	NN 
tn	tn	1610	3177	NN 
Un	Un	1590	3479	NN 
O	O	1610	3480	NN 
O	O	1591	4084	NN 
O	O	1610	4084	NN 
O	O	1591	4387	NN 
tn	tn	1610	4385	NN 
straight	straight	1843	511	RB 
straightening	straighten	2293	511	VBG 
previously	previously	2664	511	RB 
twisted	twist	1660	571	VBN 
user	user	2083	584	NN 
thereafter	thereafter	2189	571	RB 
air	air	2406	571	NN 
nailers	nailer	2478	571	NNS 
nail	nail	2804	571	NN 
previously	previously	1833	632	RB 
twisted	twist	2066	632	VBN 
lumber	lumber	2228	632	NN 
retained	retain	2623	632	VBN 
straight	straight	1660	693	RB 
user	user	2109	706	NN 
usually	usually	2223	693	RB 
carries	carry	2402	693	VBZ 
conventional	conventional	2619	693	JJ 
hammer	hammer	1661	752	NN 
air	air	2158	752	NN 
nailer	nailer	2226	752	NN 
event	event	2491	758	NN 
air	air	2697	752	NN 
nailer	nailer	2765	752	NN 
completely	completely	1856	813	RB 
force	force	2101	813	NN 
nail	nail	2266	813	NN 
piece	piece	2539	813	NN 
invention	invention	1909	873	NN 
merely	merely	2113	873	RB 
adds	add	2268	873	VBZ 
element	element	2431	873	NN 
utilized	utilize	2727	873	VBN 
conventional	conventional	1932	934	JJ 
hammer	hammer	2219	934	NN 
increasing	increase	2588	934	VBG 
weight	weight	1659	993	NN 
character	character	1954	993	NN 
invention	invention	1982	1066	NN 
provides	provide	2195	1066	VBZ 
combination	combination	2438	1066	NN 
hammer	hammer	2714	1066	NN 
lumber	lumber	1760	1127	NN 
manipulating	manipulate	1928	1127	NN 
tool	tool	2223	1127	NN 
moving	moving	1660	1186	VBG 
approximately	approximately	2111	1186	RB 
weight	weight	2633	1186	NN 
conventional	conventional	1660	1247	JJ 
hammer	hammer	1939	1247	NN 
taught	teach	2181	1247	VBN 
added	add	2238	1308	VBN 
moving	moving	2373	1308	VBG 
uneven	uneven	1659	1381	JJ 
impact	impact	1822	1368	NN 
hammer	hammer	2109	1368	NN 
striking	strike	2417	1368	JJ 
object	object	2648	1368	NN 
invention	invention	2248	1429	NN 
constructed	construct	2592	1429	VBN 
approximately	approximately	1847	1488	RB 
weight	weight	2360	1488	NN 
conventional	conventional	2619	1488	JJ 
hammer	hammer	1660	1549	NN 
thereby	thereby	1840	1549	RB 
reducing	reduce	2004	1549	VBG 
amount	amount	2271	1555	NN 
weight	weight	2489	1549	NN 
objects	object	1715	1609	NNS 
user	user	2034	1622	NN 
carry	carry	2267	1622	VB 
invention	invention	1890	1670	NN 
eliminates	eliminate	2093	1670	VBZ 
person	person	2743	1683	NN 
retain	retain	1715	1731	VB 
position	position	1922	1731	NN 
piece	piece	2196	1731	NN 
lumber	lumber	2377	1731	NN 
thereby	thereby	1661	1790	RB 
preventing	prevent	1822	1790	VBG 
injuries	injury	2051	1790	NNS 
occur	occur	2430	1803	VB 
nails	nail	2661	1790	NNS 
air	air	1662	1851	NN 
orthogonal	orthogonal	2093	1851	NN 
piece	piece	2328	1851	NN 
combination	combination	2180	1924	NN 
hammer	hammer	2456	1924	NN 
lumber	lumber	2736	1924	NN 
manipulating	manipulate	1660	1983	NN 
tool	tool	1950	1983	NN 
according	accord	2051	1983	VBG 
invention	invention	2581	1983	NN 
departs	depart	1883	2045	NNS 
conventional	conventional	2293	2044	JJ 
concepts	concept	2593	2050	NNS 
designs	design	1660	2104	NNS 
prior	prior	2007	2104	RB 
doing	do	2482	2104	VBG 
provides	provide	2626	2104	VBZ 
apparatus	apparatus	1662	2171	NN 
primarily	primarily	1869	2165	RB 
developed	develop	2075	2165	VBN 
purpose	purpose	2449	2178	NN 
providing	provide	2682	2165	VBG 
hammer	hammer	1703	2226	NN 
capable	capable	2089	2226	JJ 
utilized	utilize	2459	2226	VBN 
lumber	lumber	2736	2226	NN 
manipulating	manipulate	1660	2285	NN 
tool	tool	1943	2286	NN 
combination	combination	2249	2285	NN 
air	air	2687	2285	NN 
SUMMARY	SUMMARY	1896	2393	NN 
INVENTION	INVENTION	2368	2393	NN 
primary	primary	1760	2483	NN 
object	object	1938	2483	NN 
invention	invention	2376	2483	NN 
provide	provide	2686	2483	VB 
combination	combination	1660	2544	NN 
hammer	hammer	1926	2544	NN 
lumber	lumber	2189	2544	NN 
manipulating	manipulate	2345	2544	NN 
tool	tool	2625	2544	NN 
overcome	overcome	1660	2616	VB 
shortcomings	shortcoming	1957	2603	NNS 
prior	prior	2385	2603	RB 
art	art	2504	2609	NN 
object	object	1894	2673	NN 
provide	provide	2141	2673	VB 
combination	combination	2354	2673	NN 
hammer	hammer	2625	2673	NN 
lumber	lumber	1661	2734	NN 
manipulating	manipulate	1815	2734	NN 
tool	tool	2095	2734	NN 
eliminates	eliminate	2270	2734	VBZ 
carry	carry	2717	2747	VB 
additional	additional	1662	2794	JJ 
tool	tool	1881	2794	NN 
manipulate	manipulate	2033	2794	VB 
piece	piece	2315	2794	NN 
additional	additional	1788	2863	JJ 
object	object	2004	2863	NN 
provide	provide	2241	2863	VB 
combination	combination	2448	2863	NN 
hammer	hammer	2714	2863	NN 
lumber	lumber	1745	2924	NN 
manipulating	manipulate	1900	2924	NN 
tool	tool	2179	2924	NN 
approximately	approximately	2402	2924	RB 
weight	weight	1659	2984	NN 
conventional	conventional	1915	2984	JJ 
object	object	1912	3054	NN 
provide	provide	2151	3054	VB 
combination	combination	2359	3054	NN 
hammer	hammer	2626	3054	NN 
lumber	lumber	1660	3115	NN 
manipulating	manipulate	1826	3115	NN 
tool	tool	2116	3115	NN 
moving	moving	2725	3115	VBG 
affect	affect	2030	3174	VB 
character	character	2253	3174	NN 
conventional	conventional	2619	3174	JJ 
object	object	1894	3305	NN 
provide	provide	2140	3305	VB 
combination	combination	2354	3305	NN 
hammer	hammer	2625	3305	NN 
lumber	lumber	1660	3365	NN 
manipulating	manipulate	1833	3364	NN 
tool	tool	2131	3364	NN 
reduces	reduce	2343	3364	VBZ 
injuries	injury	2528	3364	NNS 
workers	worker	1659	3425	NNS 
attempting	attempt	1840	3425	VBG 
manipulate	manipulate	2123	3425	VB 
twisted	twist	2399	3425	VBN 
piece	piece	2560	3425	NN 
lumber	lumber	2736	3425	NN 
object	object	1898	3554	NN 
invention	invention	2357	3554	NN 
provide	provide	2680	3554	VB 
combination	combination	1660	3615	NN 
hammer	hammer	1928	3615	NN 
lumber	lumber	2196	3616	NN 
manipulating	manipulate	2354	3615	NN 
tool	tool	2636	3616	NN 
fits	fit	2818	3615	NNS 
various	various	1659	3675	JJ 
widths	width	1827	3675	NNS 
object	object	1898	3745	NN 
