level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	17	1	1	7	1673	1108	48	38	96	35
4	1	17	1	2	0	846	1176	574	51	-1	
5	1	17	1	2	1	846	1177	139	38	92	U.S.C.
5	1	17	1	2	2	1007	1176	133	51	89	154(b)
5	1	17	1	2	3	1155	1176	51	51	96	by
5	1	17	1	2	4	1224	1177	73	38	96	979
5	1	17	1	2	5	1314	1176	106	51	96	days.
2	1	18	0	0	0	601	1276	480	52	-1	
3	1	18	1	0	0	601	1276	480	52	-1	
4	1	18	1	1	0	601	1276	480	52	-1	
5	1	18	1	1	1	601	1276	115	52	96	Appl.
5	1	18	1	1	2	732	1278	87	38	92	No.:
5	1	18	1	1	3	848	1278	233	47	89	11/536,253
2	1	19	0	0	0	601	1401	848	276	-1	
3	1	19	1	0	0	601	1401	848	276	-1	
4	1	19	1	1	0	602	1401	535	51	-1	
5	1	19	1	1	1	602	1401	117	39	95	Filed:
5	1	19	1	1	2	848	1402	92	50	95	Sep.
5	1	19	1	1	3	955	1402	64	47	96	28,
5	1	19	1	1	4	1035	1402	102	38	96	2006
4	1	19	1	2	0	907	1527	510	38	-1	
5	1	19	1	2	1	907	1527	119	38	95	Prior
5	1	19	1	2	2	1041	1527	255	38	95	Publication
5	1	19	1	2	3	1311	1527	106	38	96	Data
4	1	19	1	3	0	601	1626	848	51	-1	
5	1	19	1	3	1	601	1627	65	38	93	US
5	1	19	1	3	2	682	1626	303	39	87	2007/0225570
5	1	19	1	3	3	996	1627	58	38	89	A1
5	1	19	1	3	4	1165	1627	86	50	96	Sep.
5	1	19	1	3	5	1269	1627	61	47	96	27,
5	1	19	1	3	6	1348	1627	101	38	96	2007
2	1	20	0	0	0	758	1752	668	50	-1	
3	1	20	1	0	0	758	1752	668	50	-1	
4	1	20	1	1	0	758	1752	668	50	-1	
5	1	20	1	1	1	758	1752	170	38	95	Related
5	1	20	1	1	2	944	1752	87	38	88	U.S.
5	1	20	1	1	3	1044	1752	260	50	94	Application
5	1	20	1	1	4	1320	1752	106	38	96	Data
2	1	21	0	0	0	602	1849	1119	118	-1	
3	1	21	1	0	0	602	1849	1119	118	-1	
4	1	21	1	1	0	602	1849	1119	52	-1	
5	1	21	1	1	1	602	1849	235	40	94	Provisional
5	1	21	1	1	2	854	1849	232	52	95	application
5	1	21	1	1	3	1099	1851	74	38	93	No.
5	1	21	1	1	4	1193	1849	245	49	89	60/785,925,
5	1	21	1	1	5	1455	1849	92	40	96	filed
5	1	21	1	1	6	1561	1863	53	26	96	on
5	1	21	1	1	7	1628	1851	93	38	96	Mar.
4	1	21	1	2	0	602	1920	193	47	-1	
5	1	21	1	2	1	602	1920	61	47	96	27,
5	1	21	1	2	2	681	1920	114	38	95	2006.
2	1	22	0	0	0	598	2044	1123	602	-1	
3	1	22	1	0	0	602	2044	156	38	-1	
4	1	22	1	1	0	602	2044	156	38	-1	
5	1	22	1	1	1	602	2044	78	38	95	Int.
5	1	22	1	1	2	695	2044	63	38	68	CJ.
3	1	22	2	0	0	598	2112	663	51	-1	
4	1	22	2	1	0	598	2112	663	51	-1	
5	1	22	2	1	1	598	2113	142	38	28	A61IM
5	1	22	2	1	2	754	2113	118	38	96	16/00
5	1	22	2	1	3	1059	2112	202	51	93	(2006.01)
3	1	22	3	0	0	598	2181	663	51	-1	
4	1	22	3	1	0	598	2181	663	51	-1	
5	1	22	3	1	1	598	2182	142	38	15	A6IM
5	1	22	3	1	2	754	2182	93	38	96	5/00
5	1	22	3	1	3	1059	2181	202	51	93	(2006.01)
3	1	22	4	0	0	598	2249	663	50	-1	
4	1	22	4	1	0	598	2249	663	50	-1	
5	1	22	4	1	1	598	2250	142	38	56	A6IM
5	1	22	4	1	2	754	2250	92	38	95	5/32
5	1	22	4	1	3	1059	2249	202	50	94	(2006.01)
3	1	22	5	0	0	598	2318	663	50	-1	
4	1	22	5	1	0	598	2318	663	50	-1	
5	1	22	5	1	1	598	2319	142	38	39	A61IM
5	1	22	5	1	2	753	2319	119	38	96	25/00
5	1	22	5	1	3	1059	2318	202	50	94	(2006.01)
